日期,代码,名称,价格
2026-05-20,002705,新宝股份,13.39
2026-05-20,002706,良信股份,13.36
2026-05-20,002709,天赐材料,58.00
2026-05-20,002711,欧浦退,NaN
2026-05-20,002713,*ST东易,14.26
2026-05-20,002715,登云股份,17.24
2026-05-20,002717,*ST岭南,1.17
2026-05-20,002718,友邦吊顶,82.61
2026-05-20,002722,物产金轮,15.38
2026-05-20,002723,小崧股份,9.29
2026-05-20,002726,ST龙大,1.86
2026-05-20,002729,好利科技,21.41
2026-05-20,002730,电光科技,32.65
2026-05-20,002731,ST萃华,NaN
2026-05-20,002732,燕塘乳业,15.66
2026-05-20,002733,雄韬股份,25.71
2026-05-20,002734,利民股份,16.98
2026-05-20,002736,国信证券,10.22
2026-05-20,002737,葵花药业,13.07
2026-05-20,002740,*ST爱迪,NaN
2026-05-20,002741,光华科技,23.57
2026-05-20,002742,三圣股份,4.60
2026-05-20,002745,木林森,10.11
2026-05-20,002748,世龙实业,12.13
2026-05-20,002749,国光股份,11.88
2026-05-20,002750,龙津退,NaN
2026-05-20,002751,易尚退,NaN
2026-05-20,002753,永东股份,6.86
2026-05-20,002755,奥赛康,17.10
2026-05-20,002756,永兴材料,71.45
2026-05-20,002757,南兴股份,29.10
2026-05-20,002759,天际股份,36.52
2026-05-20,002762,*ST金比,8.77
2026-05-20,002768,国恩股份,65.25
2026-05-20,002769,普路通,8.88
2026-05-20,002770,科迪退,NaN
2026-05-20,002773,康弘药业,21.66
2026-05-20,002774,快意电梯,12.74
2026-05-20,002775,文科股份,4.15
2026-05-20,002776,*ST柏龙,NaN
2026-05-20,002778,中晟高科,19.60
2026-05-20,002779,中坚科技,74.66
2026-05-20,002781,奇信退,NaN
2026-05-20,002782,可立克,30.35
2026-05-20,002785,万里石,51.23
